iter	Passed	Remaining
0	42	42047
1	116	58231
2	172	57403
3	256	63745
4	334	66622
5	408	67675
6	482	68484
7	557	69111
8	634	69839
9	718	71179
10	798	71780
11	876	72150
12	966	73363
13	1042	73421
14	1097	72101
15	1174	72258
16	1221	70653
17	1294	70640
18	1369	70685
19	1451	71132
20	1487	69338
21	1564	69536
22	1641	69741
23	1676	68180
24	1752	68355
25	1827	68445
26	1901	68535
27	1978	68693
28	2055	68809
29	2100	67923
30	2174	67979
31	2248	68026
32	2324	68102
33	2400	68214
34	2476	68289
35	2552	68341
36	2626	68359
37	2693	68195
38	2769	68239
39	2844	68274
40	2920	68316
41	2956	67432
42	3031	67478
43	3107	67511
44	3182	67543
45	3260	67622
46	3336	67644
47	3413	67695
48	3488	67713
49	3564	67725
50	3639	67726
51	3717	67763
52	3793	67775
53	3871	67822
54	3952	67911
55	4033	67987
56	4108	67975
57	4184	67959
58	4258	67923
59	4333	67897
60	4410	67894
61	4488	67904
62	4565	67897
63	4642	67896
64	4719	67891
65	4795	67859
66	4871	67835
67	4964	68044
68	5039	67995
69	5113	67940
70	5189	67900
71	5265	67869
72	5341	67826
73	5418	67798
74	5493	67747
75	5568	67695
76	5610	67252
77	5684	67197
78	5722	66715
79	5796	66654
80	5869	66597
81	5942	66527
82	6016	66472
83	6091	66429
84	6165	66373
85	6240	66327
86	6283	65939
87	6359	65904
88	6433	65852
89	6508	65811
90	6584	65771
91	6659	65728
92	6736	65695
